Distribuidora;municipio;Clientes;Potencial;Penetracion;TP;Plazo Prom.;Ventas;Aliados con Venta;Artículo Más Vendido $;Artículo Más Vendido Q;Aliado con Más Ventas
Alcanos;Neiva;5468;67.446;8,11 %;$1,907;24,41;$12.903;32;Celular;Celular;Punto Net
Alcanos;Ibague;5009;111.680;4,49 %;$1,899;24,73;$11.444;36;Celular;Celular;Grupo Merpes
Alcanos;Popayan;1690;50.014;3,38 %;$1,975;24,64;$3.852;19;Celular;Materiales de Construcción;Grupo Merpes
Alcanos;Girardot;1212;18.614;6,51 %;$2,041;26,97;$3.002;29;Televisor;Televisor;Ibg
Alcanos;La Dorada;773;11.705;6,60 %;$1,946;26,72;$1.746;12;Televisor;Televisor;Facilcréditos
Alcanos;Florencia;641;30.881;2,08 %;$2,243;24,03;$1.572;14;Nevera;Televisor;Ibg
Alcanos;Espinal;648;12.258;5,29 %;$1,926;23,70;$1.424;26;Televisor;Celular;Mercacentro
Alcanos;Fusagasuga;579;34.721;1,67 %;$1,843;24,31;$1.294;11;Televisor;Celular;Grupo Merpes
Alcanos;Campoalegre;489;5.620;8,70 %;$1,715;20,20;$1.048;14;Celular;Celular;Punto Net
Alcanos;Garzon;400;10.179;3,93 %;$2,081;23,83;$932;13;Celular;Celular;Punto Net
Alcanos;Flandes;335;4.741;7,07 %;$1,960;27,98;$802;17;Televisor;Celular;Grupo Merpes
Alcanos;La Plata;351;6.599;5,32 %;$1,824;21,53;$770;8;Celular;Celular;Punto Net
Alcanos;Rivera;267;5.132;5,20 %;$1,786;19,56;$595;16;Celular;Celular;Punto Net
Alcanos;Gigante;262;4.156;6,30 %;$1,910;21,12;$575;9;Celular;Celular;Punto Net
Alcanos;Lerida;230;3.524;6,53 %;$1,969;27,85;$538;18;Celular;Celular;Grupo Moderna
Alcanos;Algeciras;245;2.755;8,89 %;$1,692;20,83;$504;7;Celular;Televisor;Celuandroid
Alcanos;Puerto Salgar;199;2.291;8,69 %;$2,033;26,12;$449;9;Televisor;Televisor;Maservinox
Alcanos;Aipe;194;2.270;8,55 %;$1,854;28,22;$439;16;Celular;Celular;Work Com
Alcanos;Puerto Boyaca;189;5.795;3,26 %;$2,077;27,66;$424;10;Televisor;Televisor;Facilcréditos
Alcanos;Purificacion;155;3.585;4,32 %;$2,299;32,96;$407;15;Televisor;Televisor;Work Com
Alcanos;Melgar;150;6.539;2,29 %;$2,032;26,85;$382;16;Celular;Celular;Ibg
Alcanos;El Guamo;162;4.683;3,46 %;$2,105;25,59;$373;18;Celular;Celular;Ibg
Alcanos;Chaparral;151;6.299;2,40 %;$2,159;21,19;$371;13;Nevera;Celular;Ibg
Alcanos;Rionegro;160;22.598;0,71 %;$2,043;40,37;$358;9;Televisor;Televisor;Grupo Merpes
Alcanos;Armero Guayabal;150;2.162;6,94 %;$2,041;27,90;$339;18;Televisor;Televisor;Grupo Moderna
Alcanos;El Caguan;140;1.399;10,01 %;$1,986;26,69;$332;14;Televisor;Celular;Punto Net
Alcanos;Mariquita;138;6.554;2,11 %;$2,243;25,40;$330;16;Nevera;Celular;Lagobo
Alcanos;Venadillo;130;1.995;6,52 %;$1,955;31,64;$319;17;Nevera;Celular;Maservinox
Alcanos;Tocaima;125;2.436;5,13 %;$2,131;25,62;$315;9;Televisor;Televisor;Ibg
Alcanos;Chicoral;148;2.093;7,07 %;$1,823;25,96;$310;15;Nevera;Celular;Punto Real
Alcanos;Timbio;131;2.781;4,71 %;$2,049;27,46;$305;13;Celular;Celular;Grupo Merpes
Alcanos;Honda;126;4.741;2,66 %;$2,095;30,55;$295;12;Televisor;Televisor;Facilcréditos
Alcanos;Palermo;127;2.819;4,51 %;$1,932;28,58;$290;15;Celular;Celular;Grupo Merpes
Alcanos;Natagaima;109;1.549;7,04 %;$2,009;30,90;$259;10;Nevera;Nevera;Work Com
Alcanos;Tello;120;1.085;11,06 %;$1,898;28,15;$256;15;Televisor;Celular;Grupo Merpes
Alcanos;Piendamo;115;3.127;3,68 %;$1,964;24,56;$255;13;Celular;Materiales de Construcción;Grupo Merpes
Alcanos;San Luis;95;2.058;4,62 %;$2,118;27,32;$231;22;Celular;Celular;Ibg
Alcanos;Hobo;94;1.323;7,11 %;$2,065;25,97;$223;9;Televisor;Televisor;Audiocolor
Alcanos;Ambalema;79;1.174;6,73 %;$1,906;28,57;$193;12;Lavadora;Celular;Ibg
Alcanos;Tesalia;87;1.446;6,02 %;$1,937;23,25;$188;10;Nevera;Nevera;Audiocolor
Alcanos;Guaduas;71;4.054;1,75 %;$2,258;24,56;$185;5;Lavadora;Lavadora;Facilcréditos
Alcanos;Villavieja;92;1.297;7,09 %;$1,852;28,89;$178;9;Lavadora;Celular;Multintegral
Alcanos;Libano;85;6.227;1,37 %;$1,778;33,53;$176;10;Televisor;Celular;Maservinox
Alcanos;Carmen De Apicala;69;1.985;3,48 %;$2,371;24,59;$175;9;Celular;Celular;Ibg
Alcanos;Puerto Triunfo;69;1.351;5,11 %;$2,028;32,15;$168;6;Nevera;Celular;Facilcréditos
Alcanos;El Juncal;70;820;8,54 %;$2,155;26,01;$168;14;Celular;Celular;Punto Net
Alcanos;Ricaurte;60;2.460;2,44 %;$2,188;30,94;$155;10;Lavadora;Lavadora;Ibg
Alcanos;Apulo;65;1.129;5,76 %;$1,774;29,50;$147;8;Televisor;Celular;Grupo Merpes
Alcanos;Piedras;53;781;6,79 %;$2,462;26,83;$143;10;Nevera;Nevera;Ibg
Alcanos;Agua De Dios;58;2.391;2,43 %;$2,245;28,53;$141;7;Televisor;Televisor;Ibg
Alcanos;Villeta;55;4.968;1,11 %;$2,466;25,86;$141;6;Televisor;Televisor;Facilcréditos
Alcanos;Fortalecillas;59;588;10,03 %;$1,876;31,69;$129;13;Televisor;Celular;Grupo Merpes
Alcanos;Yaguara;58;1.451;4,00 %;$1,856;34,22;$122;8;Celular;Celular;Work Com
Alcanos;Valle De San Juan;50;739;6,77 %;$2,305;26,41;$122;9;Celular;Celular;Ibg
Alcanos;Saldana;55;2.064;2,66 %;$2,025;27,10;$122;9;Nevera;Celular;Ibg
Alcanos;Cajamarca;51;2.090;2,44 %;$1,957;26,62;$119;13;Celular;Celular;Ibg
Alcanos;Alvarado;49;906;5,41 %;$1,838;24,49;$108;11;Televisor;Celular;Ibg
Alcanos;Ortega;42;1.435;2,93 %;$2,227;25,32;$100;11;Nevera;Nevera;Ibg
Alcanos;Puerto Bogota;41;815;5,03 %;$2,260;29,46;$99;8;Televisor;Televisor;Maservinox
Alcanos;Narino;36;357;10,08 %;$1,936;27,59;$85;7;Lavadora;Lavadora;Ibg
Alcanos;Coello;31;551;5,63 %;$2,127;31,48;$79;10;Celular;Celular;Ibg
Alcanos;Guataqui;32;267;11,99 %;$1,990;28,18;$78;3;Lavadora;Lavadora;Ibg
Alcanos;Granada;33;335;9,85 %;$1,901;19,94;$76;3;Lavadora;Lavadora;Grupo Merpes
Alcanos;Baraya;35;738;4,74 %;$1,712;22,10;$70;7;Celular;Celular;Audiocolor
Alcanos;Silvania;32;2.144;1,49 %;$1,930;23,16;$69;8;Televisor;Celular;Grupo Merpes
Alcanos;Marinilla;35;10.372;0,34 %;$1,817;33,96;$65;6;Televisor;Celular;Grupo Merpes
Alcanos;Fresno;25;4.372;0,57 %;$2,476;27,60;$64;10;Celular;Celular;Ibg
Alcanos;Teruel;26;932;2,79 %;$2,338;31,30;$63;6;Celular;Celular;Grupo Merpes
Alcanos;Cambao;25;305;8,20 %;$2,264;33,56;$61;5;Lavadora;Lavadora;Maservinox
Alcanos;Tarqui;27;2.292;1,18 %;$2,129;28,46;$57;6;Portatil;Portatil;Multintegral
